Pair,WilcoxonStat,p-value,A12,A12_desc
"['P1_Parham_Sheet1', 'P2_Dipeeka_Sheet1']",-1.0969655114602888,0.27265646879500405,0.3680555555555556,Small
"['P3_MO_Sheet1', 'P4_Armina_Sheet1']",0.05773502691896257,0.9539596927720386,0.5069444444444444,negligible
"['P5_ Delaram_Sheet1', 'P6_ Baharin_Sheet1']",0.7505553499465134,0.4529203011037244,0.5902777777777778,Small
"['P7_ Jia_Sheet1', 'P8_ Negin_Sheet1']",-1.0392304845413263,0.29869755599497017,0.375,Small
"['P9_ Pouya_Sheet1', 'P10_ Diane_Sheet1']",-0.3464101615137754,0.7290344895388041,0.45833333333333337,negligible
