Pair,WilcoxonStat,p-value
"['P1_Parham_Sheet1', 'P2_Dipeeka_Sheet1']",-0.3464101615137754,0.7290344895388041
"['P3_MO_Sheet1', 'P4_Armina_Sheet1']",-1.3567731325956205,0.1748533068932927
"['P5_ Delaram_Sheet1', 'P6_ Baharin_Sheet1']",0.6928203230275508,0.4884223166225936
"['P7_ Jia_Sheet1', 'P8_ Negin_Sheet1']",0.7505553499465134,0.4529203011037244
"['P9_ Pouya_Sheet1', 'P10_ Diane_Sheet1']",0.31754264805429416,0.7508318840891169
