Pair,WilcoxonStat,p-value,A12,A12_desc
"['P1_Parham_Sheet1', 'P2_Dipeeka_Sheet1']",-1.212435565298214,0.2253456937016668,0.35416666666666663,Medium
"['P3_MO_Sheet1', 'P4_Armina_Sheet1']",-1.9052558883257649,0.05674681648938142,0.27083333333333337,Large
"['P5_ Delaram_Sheet1', 'P6_ Baharin_Sheet1']",1.9052558883257649,0.05674681648938142,0.7291666666666666,Large
"['P7_ Jia_Sheet1', 'P8_ Negin_Sheet1']",-0.3464101615137754,0.7290344895388041,0.45833333333333337,negligible
"['P9_ Pouya_Sheet1', 'P10_ Diane_Sheet1']",-0.606217782649107,0.5443701458566098,0.42708333333333337,Small
