Pair,WilcoxonStat,p-value,A12,A12_desc
"['P1_Parham_Sheet1', 'P2_Dipeeka_Sheet1']",0.3464101615137754,0.7290344895388041,0.5416666666666666,negligible
"['P3_MO_Sheet1', 'P4_Armina_Sheet1']",0.0,1.0,0.5,negligible
"['P5_ Delaram_Sheet1', 'P6_ Baharin_Sheet1']",0.0,1.0,0.5,negligible
"['P7_ Jia_Sheet1', 'P8_ Negin_Sheet1']",-0.6928203230275508,0.4884223166225936,0.41666666666666663,Small
"['P9_ Pouya_Sheet1', 'P10_ Diane_Sheet1']",-0.3464101615137754,0.7290344895388041,0.45833333333333337,negligible
