Pair,Mean,Median,Std
"['P1_Parham_Sheet1', 'P2_Dipeeka_Sheet1']",4.708333333333333,5.0,0.6240935455708451
"['P3_MO_Sheet1', 'P4_Armina_Sheet1']",4.541666666666667,5.0,0.6580053301400784
"['P5_ Delaram_Sheet1', 'P6_ Baharin_Sheet1']",4.458333333333333,5.0,0.721060008759246
"['P7_ Jia_Sheet1', 'P8_ Negin_Sheet1']",4.791666666666667,5.0,0.41485111699905347
"['P9_ Pouya_Sheet1', 'P10_ Diane_Sheet1']",4.958333333333333,5.0,0.2041241452319315
